Time,Code,Price,Action,Lot,Buyer,Seller,Market
16:12:26,BUMI,272 (+7.94%),Buy,646,XL [D],CC [D],RG
16:12:23,BUMI,272 (+7.94%),Buy,"2,159",YP [D],CC [D],RG
16:12:22,BUMI,272 (+7.94%),Buy,6,XL [D],CC [D],RG
16:12:21,BUMI,272 (+7.94%),Buy,2,XC [D],CC [D],RG
16:12:21,BUMI,272 (+7.94%),Buy,13,XL [D],CC [D],RG
16:12:19,BUMI,272 (+7.94%),Buy,95,XL [D],CC [D],RG
16:12:14,BUMI,272 (+7.94%),Buy,25,OD [D],CC [D],RG
16:12:14,BUMI,272 (+7.94%),Buy,300,NI [D],CC [D],RG
16:12:11,BUMI,272 (+7.94%),Buy,300,CC [D],CC [D],RG
16:12:10,BUMI,272 (+7.94%),Buy,100,OD [D],CC [D],RG
16:12:09,BUMI,272 (+7.94%),Buy,31,XL [D],CC [D],RG
16:12:09,BUMI,272 (+7.94%),Buy,50,CC [D],CC [D],RG
16:12:08,BUMI,272 (+7.94%),Buy,5,XL [D],CC [D],RG
16:12:06,BUMI,272 (+7.94%),Buy,1,XL [D],CC [D],RG
16:12:06,BUMI,272 (+7.94%),Buy,100,PD [D],CC [D],RG
16:12:05,BUMI,272 (+7.94%),Buy,20,XL [D],CC [D],RG
