Time,Code,Price,Action,Lot,Buyer,Seller,Market
16:08:28,MAPI,"1,190 (+2.15%)",Sell,4,XL [D],XL [D],RG
16:05:31,MAPI,"1,190 (+2.15%)",Sell,3,XL [D],CP [D],RG
16:05:31,MAPI,"1,190 (+2.15%)",Sell,27,YU [F],CP [D],RG
16:04:37,MAPI,"1,190 (+2.15%)",Buy,8,YU [F],CC [D],RG
16:04:37,MAPI,"1,190 (+2.15%)",Buy,85,YU [F],XC [D],RG
16:04:37,MAPI,"1,190 (+2.15%)",Buy,155,YU [F],XL [D],RG
16:04:37,MAPI,"1,190 (+2.15%)",Buy,1,YU [F],XC [D],RG
16:04:37,MAPI,"1,190 (+2.15%)",Buy,393,YU [F],XL [D],RG
16:04:13,MAPI,"1,190 (+2.15%)",Buy,1,XL [D],XL [D],RG
16:00:00,MAPI,"1,190 (+2.15%)",Buy,10,ZP [D],AK [F],RG
16:00:00,MAPI,"1,190 (+2.15%)",Sell,4,XC [D],AK [F],RG
16:00:00,MAPI,"1,190 (+2.15%)",Sell,48,XL [D],AK [F],RG
16:00:00,MAPI,"1,190 (+2.15%)",Sell,5,IF [D],AK [F],RG
16:00:00,MAPI,"1,190 (+2.15%)",Sell,1,BK [F],AK [F],RG
16:00:00,MAPI,"1,190 (+2.15%)",Sell,110,BK [F],AK [F],RG
16:00:00,MAPI,"1,190 (+2.15%)",Sell,225,ZP [F],AK [F],RG
16:00:00,MAPI,"1,190 (+2.15%)",Buy,727,KZ [F],AK [F],RG
16:00:00,MAPI,"1,190 (+2.15%)",Buy,603,KZ [F],BK [F],RG
16:00:00,MAPI,"1,190 (+2.15%)",Buy,1,KZ [F],AK [F],RG
16:00:00,MAPI,"1,190 (+2.15%)",Buy,386,KZ [F],AK [F],RG
16:00:00,MAPI,"1,190 (+2.15%)",Buy,1,KZ [F],XC [D],RG
16:00:00,MAPI,"1,190 (+2.15%)",Buy,2,KZ [F],YP [D],RG
16:00:00,MAPI,"1,190 (+2.15%)",Buy,1,KZ [F],XC [D],RG
16:00:00,MAPI,"1,190 (+2.15%)",Buy,9,KZ [F],XL [D],RG
16:00:00,MAPI,"1,190 (+2.15%)",Buy,15,KZ [F],XC [D],RG
16:00:00,MAPI,"1,190 (+2.15%)",Buy,200,KZ [F],EP [D],RG
16:00:00,MAPI,"1,190 (+2.15%)",Buy,300,KZ [F],GR [D],RG
16:00:00,MAPI,"1,190 (+2.15%)",Buy,6,KZ [F],XC [D],RG
16:00:00,MAPI,"1,190 (+2.15%)",Buy,581,KZ [F],ZP [F],RG
16:00:00,MAPI,"1,190 (+2.15%)",Buy,19,KZ [F],DH [D],RG
16:00:00,MAPI,"1,190 (+2.15%)",Buy,30,KZ [F],CC [D],RG
16:00:00,MAPI,"1,190 (+2.15%)",Buy,"1,302",KZ [F],AK [F],RG
