Time,Code,Price,Action,Lot,Buyer,Seller,Market
16:14:46,MAPI,"1,165 (-2.10%)",Sell,24,XL [D],KK [D],RG
16:14:46,MAPI,"1,165 (-2.10%)",Sell,1,YP [D],KK [D],RG
16:12:28,MAPI,"1,165 (-2.10%)",Sell,40,YU [F],YP [D],RG
16:12:27,MAPI,"1,165 (-2.10%)",Sell,20,YU [F],KK [D],RG
16:12:13,MAPI,"1,165 (-2.10%)",Sell,5,YU [F],KK [D],RG
16:12:03,MAPI,"1,165 (-2.10%)",Sell,120,YU [F],GR [D],RG
16:05:34,MAPI,"1,165 (-2.10%)",Sell,80,YU [F],YP [D],RG
16:05:26,MAPI,"1,165 (-2.10%)",Sell,274,YU [F],XC [D],RG
16:03:57,MAPI,"1,165 (-2.10%)",Sell,60,YU [F],AZ [D],RG
16:03:57,MAPI,"1,165 (-2.10%)",Sell,5,YU [F],XL [D],RG
16:03:26,MAPI,"1,165 (-2.10%)",Sell,25,YU [F],KK [D],RG
16:03:16,MAPI,"1,165 (-2.10%)",Sell,1,YU [F],CP [D],RG
16:02:53,MAPI,"1,165 (-2.10%)",Sell,11,YU [F],YP [D],RG
16:02:49,MAPI,"1,165 (-2.10%)",Sell,55,YU [F],YP [D],RG
16:00:00,MAPI,"1,165 (-2.10%)",Sell,50,YU [F],CP [D],RG
16:00:00,MAPI,"1,165 (-2.10%)",Sell,20,YU [F],KK [D],RG
16:00:00,MAPI,"1,165 (-2.10%)",Buy,8,YU [F],XC [D],RG
16:00:00,MAPI,"1,165 (-2.10%)",Buy,42,YU [F],PD [D],RG
16:00:00,MAPI,"1,165 (-2.10%)",Sell,50,YU [F],XA [D],RG
16:00:00,MAPI,"1,165 (-2.10%)",Buy,25,YU [F],XL [D],RG
16:00:00,MAPI,"1,165 (-2.10%)",Sell,50,YU [F],CP [D],RG
16:00:00,MAPI,"1,165 (-2.10%)",Sell,292,YU [F],CP [D],RG
16:00:00,MAPI,"1,165 (-2.10%)",Sell,50,XL [D],CP [D],RG
16:00:00,MAPI,"1,165 (-2.10%)",Sell,10,YP [D],CP [D],RG
16:00:00,MAPI,"1,165 (-2.10%)",Sell,5,PD [D],CP [D],RG
16:00:00,MAPI,"1,165 (-2.10%)",Sell,2,PD [D],CP [D],RG
16:00:00,MAPI,"1,165 (-2.10%)",Buy,126,AK [F],CP [D],RG
16:00:00,MAPI,"1,165 (-2.10%)",Buy,813,BK [F],CP [D],RG
16:00:00,MAPI,"1,165 (-2.10%)",Buy,430,YP [D],CP [D],RG
16:00:00,MAPI,"1,165 (-2.10%)",Buy,9,YP [D],CP [D],RG
16:00:00,MAPI,"1,165 (-2.10%)",Sell,4,XL [D],CP [D],RG
16:00:00,MAPI,"1,165 (-2.10%)",Sell,5,XL [D],CP [D],RG
